
Name,Runs,Balls,Fours,Sixes,SR
Naeem Islam,12,9,1,1,133.33
Parvez Hossain Emon,13,8,0,2,162.5
Usman Khan,18,15,2,1,120
Mohammad Mithun (wk/c),6,7,1,0,85.71
Haider Ali,0,2,0,0,0
Shamim Hossain Patwari,78,38,7,5,205.26
Tom O'Connell,0,1,0,0,0
Mohammad Wasim,8,12,1,0,66.67
Shoriful Islam,1,3,0,0,33.33
Aliss Al Islam,6,18,0,0,33.33
Khaled Ahmed *,14,4,0,2,350

Name,O,M,R,W,NB,WD,ECO
Oshane Thomas,1,0,18,1,4,2,18
Hasan Mahmud,4,0,30,1,0,1,7.5
Abu Hider,3.5,0,44,4,0,1,11.48
Nasum Ahmed,3,0,35,1,0,2,11.67
Mohammad Nawaz,3,0,13,2,0,0,4.33
Mehidy Hasan Miraz (c),4,0,26,1,0,0,6.5

Name,Runs,Balls,Fours,Sixes,SR
Mohammad Naim,26,17,1,3,152.94
William Bosisto,75,50,8,3,150
Mehidy Hasan Miraz (c),18,18,1,1,100
Ibrahim Zadran,6,7,0,0,85.71
Afif Hossain,8,7,1,0,114.29
Mahidul Islam Ankon (wk),59,22,1,6,268.18

Name,O,M,R,W,NB,WD,ECO
Shoriful Islam,4,0,47,0,0,1,11.75
Aliss Al Islam,4,0,17,2,0,0,4.25
Khaled Ahmed,4,0,45,2,0,1,11.25
Mohammad Wasim,4,0,39,0,1,1,9.75
Tom O'Connell,2,0,25,0,0,0,12.5
Shamim Hossain Patwari,2,0,23,0,0,0,11.5
