
Name,Runs,Balls,Fours,Sixes,SR
Tanzid Hasan,30,21,2,2,142.86
Litton Das (wk),31,27,3,1,114.81
Habibur Rahman Sohan,6,2,0,1,300
Stephen Eskinazi,17,21,2,0,80.95
Farmanullah,1,2,0,0,50
Thisara Perera (c),17,8,1,2,212.5
Alauddin Babu,1,2,0,0,50
Amir Hamza,0,4,0,0,0
Mukidul Islam,18,11,2,1,163.64
Nazmul Islam,12,16,0,0,75
Mustafizur Rahman *,5,7,1,0,71.43

Name,O,M,R,W,NB,WD,ECO
Mohammad Saifuddin,4,0,29,1,0,2,7.25
Mahedi Hasan,4,0,27,4,0,2,6.75
Rakibul Hasan,4,0,34,1,0,2,8.5
Kamrul Islam,3,0,32,1,0,2,10.67
Nahid Rana,3,0,11,0,1,1,3.67
Khushdil Shah,2,0,15,2,0,0,7.5

Name,Runs,Balls,Fours,Sixes,SR
Steven Taylor,14,7,2,1,200
Alex Hales,5,6,1,0,83.33
Saif Hassan,40,33,2,2,121.21
Iftikhar Ahmed,49,38,8,0,128.95
Khushdil Shah,46,23,3,3,200
Nurul Hasan (wk/c),25,11,6,0,227.27
Mohammad Saifuddin,0,1,0,0,0
Mahedi Hasan,1,1,0,0,100

Name,O,M,R,W,NB,WD,ECO
Amir Hamza,3,0,33,0,0,2,11
Mustafizur Rahman,4,0,48,1,0,2,12
Alauddin Babu,4,0,43,3,0,4,10.75
Mukidul Islam,4,0,27,2,0,1,6.75
Nazmul Islam,4,0,26,0,0,0,6.5
Farmanullah,1,0,12,0,0,0,12
