
Name,Runs,Balls,Fours,Sixes,SR
Mohammad Haris,12,5,1,1,240
Jishan Alam,0,8,0,0,0
Anamul Haque Bijoy (c)*,73,46,9,3,158.7
Yasir Ali Chowdhury,22,20,1,2,110
Ryan Burl,55,33,5,3,166.67

Name,O,M,R,W,NB,WD,ECO
Mustafizur Rahman,4,1,33,1,0,2,8.25
Mukidul Islam,3.1,0,37,1,1,0,11.68
Alauddin Babu,4,0,35,1,0,1,8.75
Shubham Ranjane,2,0,24,0,2,4,12
Nazmul Islam,3,0,26,0,0,0,8.67
Chaturanga de Silva,1,0,9,0,0,1,9
Thisara Perera (c),1,0,9,0,0,0,9

Name,Runs,Balls,Fours,Sixes,SR
Litton Das (wk),0,5,0,0,0
Tanzid Hasan,9,10,1,0,90
Stephen Eskinazi,46,29,6,2,158.62
Shahadat Hossain,50,41,7,0,121.95
Thisara Perera (c),21,9,1,2,233.33
Shubham Ranjane,24,13,3,1,184.62
Chaturanga de Silva,1,3,0,0,33.33
Alauddin Babu,13,9,1,1,144.44
Mukidul Islam,0,1,0,0,0
Nazmul Islam,1,1,0,0,100
Mustafizur Rahman,1,1,0,0,100

Name,O,M,R,W,NB,WD,ECO
Jishan Alam,3,0,20,0,0,0,6.67
Taskin Ahmed,4,0,19,7,0,0,4.75
Shafiul Islam,4,0,45,0,1,1,11.25
Mohor Sheikh,2,0,22,1,1,2,11
Hasan Murad,2,0,21,1,0,1,10.5
Ryan Burl,4,0,31,0,0,0,7.75
Sabbir Hossain I,1,0,14,0,0,0,14
