Ball,Score,Bowler,Bowler ID,Batsman,Batsman ID,Dismissal_type
19.6,0,Kamrul Islam,2970,Nazmul Islam,2981,
19.5,0,Kamrul Islam,2970,Nazmul Islam,2981,
19.4,1,Kamrul Islam,2970,Mustafizur Rahman,2997,
19.3,4,Kamrul Islam,2970,Mustafizur Rahman,2997,
19.2,1,Kamrul Islam,2970,Nazmul Islam,2981,
19.2,1wd,Kamrul Islam,2970,Nazmul Islam,2981,
19.1,0,Kamrul Islam,2970,Nazmul Islam,2981,
18.6,0,Mohammad Saifuddin,2947,Mustafizur Rahman,2997,
18.5,0,Mohammad Saifuddin,2947,Mustafizur Rahman,2997,
18.4,0,Mohammad Saifuddin,2947,Mustafizur Rahman,2997,
18.4,1wd,Mohammad Saifuddin,2947,Mustafizur Rahman,2997,
18.3,0,Mohammad Saifuddin,2947,Mustafizur Rahman,2997,
18.2,0,Mohammad Saifuddin,2947,Mustafizur Rahman,2997,
18.1,W,Mohammad Saifuddin,2947,Mukidul Islam,2951,Caught out
17.6,0,Nahid Rana,33565,Nazmul Islam,2981,
17.5,1,Nahid Rana,33565,Mukidul Islam,2951,
17.4,1,Nahid Rana,33565,Nazmul Islam,2981,
17.4,1nb,Nahid Rana,33565,Nazmul Islam,2981,
17.3,1,Nahid Rana,33565,Mukidul Islam,2951,
17.2,1,Nahid Rana,33565,Nazmul Islam,2981,
17.1,0,Nahid Rana,33565,Nazmul Islam,2981,
16.6,1,Mohammad Saifuddin,2947,Nazmul Islam,2981,
16.5,2,Mohammad Saifuddin,2947,Nazmul Islam,2981,
16.4,2,Mohammad Saifuddin,2947,Nazmul Islam,2981,
16.3,0,Mohammad Saifuddin,2947,Nazmul Islam,2981,
16.2,1,Mohammad Saifuddin,2947,Mukidul Islam,2951,
16.1,1,Mohammad Saifuddin,2947,Nazmul Islam,2981,
15.6,0,Rakibul Hasan,3382,Mukidul Islam,2951,
15.5,4,Rakibul Hasan,3382,Mukidul Islam,2951,
15.4,6,Rakibul Hasan,3382,Mukidul Islam,2951,
15.3,1,Rakibul Hasan,3382,Nazmul Islam,2981,
15.2,2,Rakibul Hasan,3382,Nazmul Islam,2981,
15.1,1lb,Rakibul Hasan,3382,Mukidul Islam,2951,
14.6,W,Khushdil Shah,4094,Stephen Eskinazi,9218,Out LBW
14.5,1,Khushdil Shah,4094,Mukidul Islam,2951,
14.4,4,Khushdil Shah,4094,Mukidul Islam,2951,
14.3,0,Khushdil Shah,4094,Mukidul Islam,2951,
14.2,1,Khushdil Shah,4094,Stephen Eskinazi,9218,
14.1,4,Khushdil Shah,4094,Stephen Eskinazi,9218,
13.6,0,Rakibul Hasan,3382,Amir Hamza,8235,
13.5,0,Rakibul Hasan,3382,Amir Hamza,8235,
13.4,0,Rakibul Hasan,3382,Amir Hamza,8235,
13.4,1wd,Rakibul Hasan,3382,Amir Hamza,8235,
13.3,1lb,Rakibul Hasan,3382,Stephen Eskinazi,9218,
13.2,4,Rakibul Hasan,3382,Stephen Eskinazi,9218,
13.1,0,Rakibul Hasan,3382,Stephen Eskinazi,9218,
12.6,0,Khushdil Shah,4094,Amir Hamza,8235,
12.5,0,Khushdil Shah,4094,Alauddin Babu,11624,
12.4,1,Khushdil Shah,4094,Stephen Eskinazi,9218,
12.3,1,Khushdil Shah,4094,Alauddin Babu,11624,
12.2,1,Khushdil Shah,4094,Stephen Eskinazi,9218,
12.1,2,Khushdil Shah,4094,Stephen Eskinazi,9218,
11.6,0,Mohammad Saifuddin,2947,Thisara Perera,2866,
11.6,1wd,Mohammad Saifuddin,2947,Thisara Perera,2866,
11.5,0,Mohammad Saifuddin,2947,Thisara Perera,2866,
11.4,4,Mohammad Saifuddin,2947,Thisara Perera,2866,
11.3,6,Mohammad Saifuddin,2947,Thisara Perera,2866,
11.2,1,Mohammad Saifuddin,2947,Stephen Eskinazi,9218,
11.1,0,Mohammad Saifuddin,2947,Stephen Eskinazi,9218,
10.6,0,Rakibul Hasan,3382,Thisara Perera,2866,
10.5,6,Rakibul Hasan,3382,Thisara Perera,2866,
10.4,1,Rakibul Hasan,3382,Stephen Eskinazi,9218,
10.3,1,Rakibul Hasan,3382,Thisara Perera,2866,
10.2,1,Rakibul Hasan,3382,Stephen Eskinazi,9218,
10.1,0,Rakibul Hasan,3382,Stephen Eskinazi,9218,
9.6,0,Mahedi Hasan,2950,Thisara Perera,2866,
9.5,W,Mahedi Hasan,2950,Farmanullah,16368,Bowled out
9.4,1,Mahedi Hasan,2950,Stephen Eskinazi,9218,
9.3,0,Mahedi Hasan,2950,Stephen Eskinazi,9218,
9.2,1,Mahedi Hasan,2950,Farmanullah,16368,
9.1,W,Mahedi Hasan,2950,Lit,ID_Not_Available,Caught out
8.6,0,Nahid Rana,33565,Stephen Eskinazi,9218,
