Ball Number,Score,Comment
15.6,1,"Shafiul Islam to Shahadat Hossain, 1 run, An accurately pitched fast ball on the stumps, Shahadat Hossain goes forward to make a confident flick shot, sending the ball towards deep mid wicket for 1 run."
15.5,1,"Shafiul Islam to Shubham Ranjane, 1 run, Shubham Ranjane goes back to take inswinger of back of length aimed on the off stump, executing a confident pull that sent the ball sailing towards long on for 1 run."
15.4,0,"Shafiul Islam to Shubham Ranjane, no run, Dot ball !! fast ball, good length, on the off stump, Shubham Ranjane goes forward, tucks defensive shot toward the fielder at short cover, who halts the ball."
15.3,1,"Shafiul Islam to Shahadat Hossain, 1 run, Shahadat Hossain goes back and plays a well-timed cut off an fast ball delivers at a back of length by the bowler, but the ball lands safely in the hands of the fielder at deep point for 1 run."
15.2,1,"Shafiul Islam to Shubham Ranjane, 1 run, Shubham Ranjane goes back and plays a well-timed cut off an fast ball delivers at a back of length by the bowler, but the ball lands safely in the hands of the fielder at deep point for 1 run."
15.1,1,"Shafiul Islam to Shahadat Hossain, 1 run, An accurately pitched fast ball on the stumps, Shahadat Hossain goes forward to make a confident flick shot, sending the ball towards deep square leg for 1 run."
14.6,1,"Mohor Sheikh to Shahadat Hossain, 1 run, Shahadat Hossain goes back and plays a well-timed pull off an off cutter delivers at a back of length by the bowler, but the ball lands safely in the hands of the fielder at deep square leg for 1 run."
14.5,1,"Mohor Sheikh to Shubham Ranjane, 1 run, Shubham Ranjane goes forward to take fast ball of good length aimed on the off stump, executing a confident defensive shot that sent the ball sailing towards deep cover for 1 run."
14.5,1wd,"Mohor Sheikh to Shubham Ranjane, 1 wide, bouncer, short length, on the off stump, An attempted bouncer misses the mark and sails high over Shubham Ranjane's head, Umpire Calls it a wide."
14.4,0,"Mohor Sheikh to Shubham Ranjane, no run, Dot ball !! fast ball, back of length, on the off stump, Shubham Ranjane goes back and tucks pull toward the fielder, who halts the ball."
14.3,W,"Mohor Sheikh to Thisara Perera, no run, c YA Chowdhury b Mohor Sheikh, Caught out !! fast ball, back of length, on the off stump, Thisara Perera goes back, takes a big risk by attempting pull towards deep mid wicket, but unfortunately, the ball flies towards , who displays excellent fielding skills to complete the catch, resulting in the dismissal of Thisara Perera. c YA Chowdhury b Mohor Sheikh"
14.2,4,"Mohor Sheikh to Thisara Perera, Four, Four !! fast ball, full length, on the off stump, Thisara Perera elegantly hangs in the crease into the shot, gracefully guides it to third man region, the ball speeds away and finds the boundary rope."
14.1,1,"Mohor Sheikh to Shahadat Hossain, 1 run, Shahadat Hossain goes back to take fast ball of back of length aimed on the off stump, executing a confident cut that sent the ball sailing towards deep cover for 1 run."
13.6,1,"Ryan Burl to Shahadat Hossain, 1 run, legbreak, full length, on the off stump, goes forward, plays sweep, towards the deep mid wicket for 1 run."
13.5,1,"Ryan Burl to Thisara Perera, 1 run, , full length, on the stumps, Thisara Perera goes forward and chunks it towards the deep mid wicket for 1 run."
13.4,2,"Ryan Burl to Thisara Perera, 2 runs, Thisara Perera goes forward to take off break ball of full length aimed on the leg stump, executing a confident flick shot that sent the ball sailing towards deep mid wicket for 2 runs."
13.3,0,"Ryan Burl to Thisara Perera, no run, Dot ball !! arm ball, yorker, on the leg stump, Thisara Perera goes forward, tucks flick shot toward the fielder at square leg, who halts the ball."
13.2,1,"Ryan Burl to Shahadat Hossain, 1 run, off break ball, good length, on the stumps, goes forward, plays push, towards the deep mid wicket for 1 run."
13.1,0,"Ryan Burl to Shahadat Hossain, no run,"
12.6,1,"Jishan Alam to Shahadat Hossain, 1 run, An accurately pitched off break ball on the stumps, Shahadat Hossain goes forward to make a confident push, sending the ball towards long on for 1 run."
12.5,1,"Jishan Alam to Thisara Perera, 1 run, An accurately pitched arm ball on the stumps, Thisara Perera goes forward to make a confident flick shot, sending the ball towards short fine leg for 1 run."
12.4,6,"Jishan Alam to Thisara Perera, Six, Six !! What a delivery! arm ball lands right on the stumps, Thisara Perera goes back, exhibits impeccable timing as batter hammers pull sending it flying to the deep mid wicket region for a remarkable Maximum!"
12.3,1,"Jishan Alam to Shahadat Hossain, 1 run, Shahadat Hossain goes forward to take off break ball of good length aimed on the off stump, executing a confident push that sent the ball sailing towards long on for 1 run."
12.2,4,"Jishan Alam to Shahadat Hossain, Four, Four !! arm ball, back of length, on the off stump. Shahadat Hossain goes back, hits inside out shot in the gap towards deep cover, and ball finds the ropes in a flash for four."
12.1,0,"Jishan Alam to Shahadat Hossain, no run, Dot ball !! arm ball, back of length, on the off stump, Shahadat Hossain goes back and strives to hit cut, aiming to fend it off, but ball is too tricky to hit."
11.6,1,"Ryan Burl to Shahadat Hossain, 1 run, off break ball, good length, on the stumps, hangs in the crease, plays pull, towards the deep square leg for 1 run."
11.5,0,"Ryan Burl to Shahadat Hossain, no run, Dot ball !! arm ball, good length, on the off stump, Shahadat Hossain goes forward to the delivery, tries to defend it with full face of the bat, but the ball jags away at the last moment, beating the bat."
11.4,4,"Ryan Burl to Shahadat Hossain, Four, Four !! off break ball, good length, on the stumps. Shahadat Hossain goes back, hits pull in the gap towards deep fine leg, and ball finds the ropes in a flash for four."
11.3,1,"Ryan Burl to Thisara Perera, 1 run, An accurately pitched off break ball on the stumps, Thisara Perera goes forward to make a confident push, sending the ball towards long on for 1 run."
11.2,1,"Ryan Burl to Shahadat Hossain, 1 run, Shahadat Hossain goes forward to take arm ball of full length aimed on the stumps, executing a confident sweep that sent the ball sailing towards deep square leg for 1 run."
11.1,0,"Ryan Burl to Shahadat Hossain, no run, Dot ball !! off break ball, good length, on the off stump, Shahadat Hossain goes back and strives to hit cut, aiming to fend it off, but ball is too tricky to hit."
10.6,6,"Hasan Murad to Thisara Perera, Six, Six !! What a delivery! off break ball lands right on the stumps, Thisara Perera goes forward, exhibits impeccable timing as batter hammers and sends it flying to the deep mid wicket region for a remarkable Maximum!"
10.5,W,"Hasan Murad to Stephen Eskinazi, no run, b H Murad, Bowled out !! arm ball, full length, on the stumps, A bold move from Stephen Eskinazi as batter goes forward, plays it, but it proves to be batter's downfall. The ball crashes into stumps, and the stumps are rattled. Bowled out! b H Murad"
10.4,0,"Hasan Murad to Stephen Eskinazi, no run, Dot ball !! off break ball, good length, on the stumps, goes forward, plays defensive shot to the short mid wicket."
10.3,4,"Hasan Murad to Stephen Eskinazi, Four, Four !! off break ball, full length, on the off stump. Stephen Eskinazi goes forward, hits inside out shot in the gap towards deep cover, and ball finds the ropes in a flash for four."
10.2,1,"Hasan Murad to Shahadat Hossain, 1 run, arm ball, full length, on the stumps, goes forward, plays push, towards the deep mid wicket for 1 run."
10.1,0,"Hasan Murad to Shahadat Hossain, no run, Dot ball !! off break ball, good length, on the off stump, Shahadat Hossain goes forward and tucks defensive shot toward the fielder, who halts the ball."
9.6,1,"Shafiul Islam to Shahadat Hossain, 1 run, Shahadat Hossain goes back and plays a well-timed pull off an fast ball delivers at a back of length by the bowler, but the ball lands safely in the hands of the fielder at deep square leg for 1 run."
9.5,1,"Shafiul Islam to Stephen Eskinazi, 1 run, An accurately pitched fast ball on the off stump, Stephen Eskinazi hangs in the crease to make a confident cut, sending the ball towards third man for 1 run."
9.4,0,"Ryan Burl to Stephen Eskinazi, no run,"
9.3,0,"Shafiul Islam to Stephen Eskinazi, no run, Dot ball !! fast ball, good length, on the leg stump, Stephen Eskinazi goes forward, tucks defensive shot toward the fielder at short mid wicket, who halts the ball."
9.2,1,"Shafiul Islam to Shahadat Hossain, 1 run, Shahadat Hossain goes forward to take fast ball of good length aimed on the off stump, executing a confident defensive shot that sent the ball sailing towards third man for 1 run."
9.1,2,"Ryan Burl to Shahadat Hossain, 2 runs, Shahadat Hossain goes forward and plays a well-timed drive off an fast ball delivers at a full length by the bowler, but the ball lands safely in the hands of the fielder at long on for 2 runs."
8.6,4,"Sabbir Hossain I to Stephen Eskinazi, Four, Four !! off cutter, full length, on the leg stump, Stephen Eskinazi goes forward, plays flick shot in the air to deep fine leg. Ball finds the ropes for four."
8.5,1,"Sabbir Hossain I to Shahadat Hossain, 1 run, Shahadat Hossain goes back and plays a well-timed cut off an outswinger delivers at a back of length by the bowler, but the ball lands safely in the hands of the fielder at deep point for 1 run."
8.4,1,"Sabbir Hossain I to Stephen Eskinazi, 1 run, Stephen Eskinazi goes forward to take fast ball of good length aimed on the off stump, executing a confident cut that sent the ball sailing towards slip for 1 run."
8.3,0,"Sabbir Hossain I to Stephen Eskinazi, no run, Dot ball !! fast ball, good length, on the off stump, hangs in the crease, plays cut to the slip."
8.2,4,"Sabbir Hossain I to Stephen Eskinazi, Four, Four !! fast ball, full length, on the off stump. Stephen Eskinazi goes forward, hits drive in the gap towards deep cover, and ball finds the ropes in a flash for four."
8.1,4,"Sabbir Hossain I to Stephen Eskinazi, Four, Four !! fast ball, good length, on the off stump. Stephen Eskinazi hangs in the crease, hits cut in the gap towards deep point, and ball finds the ropes in a flash for four."
7.6,2,"Ryan Burl to Shahadat Hossain, 2 runs, Ryan Burl delivers off break ball at full length, Shahadat Hossain goes forward and plays the shot, but the ball goes straight to the fielder at long off for 2 runs."
7.5,0,"Ryan Burl to Shahadat Hossain, no run, Dot ball !! off break ball, full length, on the off stump, Shahadat Hossain goes forward and slash push towards mid on, but the fielder reacts promptly and blocks it right away."
7.4,0,"Ryan Burl to Shahadat Hossain, no run, Dot ball !! arm ball, good length, on the off stump, Shahadat Hossain hangs in the crease and strives to hit cut, aiming to fend it off, but ball is too tricky to hit."
7.3,0,"Ryan Burl to Shahadat Hossain, no run, Dot ball !! legbreak, full length, on the off stump, Shahadat Hossain hangs in the crease to the delivery, tries to defend it with full face of the bat, but the ball jags away at the last moment, beating the bat."
7.2,0,"Ryan Burl to Shahadat Hossain, no run, Dot ball !! , full length, on the off stump, Shahadat Hossain goes forward and dabs defensive shot, but the fielder reacts promptly and blocks it right away."
7.1,1,"Ryan Burl to Stephen Eskinazi, 1 run, An accurately pitched legbreak on the stumps, Stephen Eskinazi goes forward to make a confident push, sending the ball towards deep mid wicket for 1 run."
6.6,4,"Hasan Murad to Shahadat Hossain, Four, Four !! off break ball, full length, on the leg stump. Shahadat Hossain goes forward, hits sweep in the gap towards deep fine leg, and ball finds the ropes in a flash for four."
6.5,1,"Hasan Murad to Stephen Eskinazi, 1 run, Stephen Eskinazi goes forward to take off break ball of full length aimed on the stumps, executing a confident push that sent the ball sailing towards long on for 1 run."
6.4,1,"Hasan Murad to Shahadat Hossain, 1 run,"
6.3,0,"Hasan Murad to Shahadat Hossain, no run, Dot Ball !! top spinner, full length, on the off stump, and Shahadat Hossain hangs on and tries to hit defensive shot, but misses it completely as ball beats the bat, goes to the keeper."
6.3,1wd,"Hasan Murad to Shahadat Hossain, 1 wide, Wide Ball !! arm ball good length on the leg stump, Hasan Murad has sent that one, way down the leg side. The umpire signals it wide."
6.2,1,"Hasan Murad to Stephen Eskinazi, 1 run, An accurately pitched off break ball on the off stump, Stephen Eskinazi goes forward to make a confident push, sending the ball towards long on for 1 run."
6.1,2,"Hasan Murad to Stephen Eskinazi, 2 runs, An accurately pitched off break ball on the stumps, Stephen Eskinazi goes forward to make a confident ramp shot, sending the ball towards deep fine leg for 2 runs."
5.6,1,"Mohor Sheikh to Stephen Eskinazi, 1 run, An accurately pitched fast ball on the stumps, Stephen Eskinazi goes forward to make a confident defensive shot, sending the ball towards short mid wicket for 1 run."
5.5,1,"Mohor Sheikh to Shahadat Hossain, 1 run, An accurately pitched outswinger on the off stump, Shahadat Hossain goes back to make a confident push, sending the ball towards slip for 1 run."
5.4,4,"Mohor Sheikh to Shahadat Hossain, Four, Four !! fast ball, full length, on the off stump, Shahadat Hossain goes back and caresses inside out shot, edged!! towards third man, it raced away to the fence for four."
5.4,5nb,"Mohor Sheikh to Shahadat Hossain, 5 no ball, Four !! outswinger, good length, on the off stump. Shahadat Hossain goes back, whacked cut in the gap towards deep point, ball finds the ropes in a flash for four. Umpire signals it a no ball !"
5.4,1wd,"Mohor Sheikh to Shahadat Hossain, 1 wide, Wide Ball !! fast ball good length on the leg stump, That sails wide of the leg-stump, leaving Shahadat Hossain with no chance to make contact. The umpire calls it a wide."
5.3,1,"Mohor Sheikh to Stephen Eskinazi, 1 run, fast ball, full length, on the stumps, goes forward, plays push, towards the deep mid wicket for 1 run."
5.2,0,"Mohor Sheikh to Stephen Eskinazi, no run, Dot ball !! outswinger, good length, on the off stump, Mohor Sheikh bowls a sharp delivery, and Stephen Eskinazi goes forward to defend the ball, but the ball nips away and beats the bat, leaving the batter stranded."
5.1,1,"Mohor Sheikh to Shahadat Hossain, 1 run, An accurately pitched fast ball on the stumps, Shahadat Hossain goes back to make a confident pull, sending the ball towards deep square leg for 1 run."
4.6,4,"Shafiul Islam to Stephen Eskinazi, Four, Four !! fast ball, full length, on the off stump, Stephen Eskinazi goes forward, plays drive in the air to deep cover. Ball finds the ropes for four."
4.6,2nb,"Shafiul Islam to Shahadat Hossain, 2 no ball, No ball !! outswinger, good length, on the off stump, Shahadat Hossain goes forward to make a room for himself, but left it alone for the keeper to collect at the last moment. Umpire signals it a no ball."
4.5,1,"Shafiul Islam to Stephen Eskinazi, 1 run, An accurately pitched outswinger on the off stump, Stephen Eskinazi goes forward to make a confident defensive shot, sending the ball towards point for 1 run."
4.4,0,"Shafiul Islam to Stephen Eskinazi, no run,"
4.3,6,"Shafiul Islam to Stephen Eskinazi, Six, Six !! What a delivery! fast ball lands right on the off stump, Stephen Eskinazi goes forward, exhibits impeccable timing as batter hammers ramp shot sending it flying to the third man region for a remarkable Maximum!"
4.2,6,"Shafiul Islam to Stephen Eskinazi, Six, Six !! With a brilliant fast ball on the off stump, Stephen Eskinazi goes back and showcases power-hitting prowess as batter unleashes a spectacular ramp shot to third man for a colossal Maximum!"
4.2,1wd,"Shafiul Islam to Stephen Eskinazi, 1 wide, bouncer, short length, on the stumps, An attempted bouncer misses the mark and sails high over Stephen Eskinazi's head, Umpire Calls it a wide."
4.1,0,"Shafiul Islam to Stephen Eskinazi, no run, Dot ball !! inswinger, full length, on the leg stump, Stephen Eskinazi goes forward to the delivery, tries to defend it with full face of the bat, but the ball jags away at the last moment, beating the bat."
3.6,0,"Taskin Ahmed to Shahadat Hossain, no run, Dot ball !! fast ball, back of length, on the off stump, Shahadat Hossain goes forward to make a room for himself, but left it alone for the keeper to collect at the last moment."
3.5,4,"Taskin Ahmed to Shahadat Hossain, Four, Four !! fast ball, back of length, on the off stump. Shahadat Hossain hangs in the crease, hits cut in the gap towards third man, and ball finds the ropes in a flash for four."
3.4,4,"Taskin Ahmed to Shahadat Hossain, Four, Four !! outswinger, good length, on the off stump. Shahadat Hossain goes forward, hits drive in the gap towards deep point, and ball finds the ropes in a flash for four."
3.3,0,"Taskin Ahmed to Shahadat Hossain, no run, Dot ball !! fast ball, back of length, on the off stump, Shahadat Hossain goes forward to the delivery, letting it go to the keeper without offering a shot."
3.2,W,"Taskin Ahmed to Tanzid Hasan, no run, c A Ali b T Ahmed, Caught out !! outswinger, back of length, on the off stump, Tanzid Hasan goes forward, tries a high-risk shot towards slip, but the ball finds safe hands of Akbar Ali, who makes no mistake in taking the catch. Tanzid Hasan is out. c A Ali b T Ahmed"
3.1,2,"Taskin Ahmed to Tanzid Hasan, 2 runs, Tanzid Hasan goes back to take fast ball of back of length aimed on the stumps, executing a confident punch that sent the ball sailing towards deep cover for 2 runs."
2.6,0,"Jishan Alam to Stephen Eskinazi, no run, Dot ball !! arm ball, good length, on the off stump, Stephen Eskinazi goes forward and slash defensive shot towards slip, but the fielder reacts promptly and blocks it right away."
2.5,1,"Jishan Alam to Tanzid Hasan, 1 run, An accurately pitched off break ball on the stumps, Tanzid Hasan goes forward to make a confident push, sending the ball towards deep mid wicket for 1 run."
2.4,0,"Jishan Alam to Tanzid Hasan, no run, Dot ball !! off break ball, full length, on the off stump, Tanzid Hasan goes forward, tucks defensive shot toward the fielder at short cover, who halts the ball."
2.3,2,"Jishan Alam to Tanzid Hasan, 2 runs, An accurately pitched off break ball on the stumps, Tanzid Hasan goes forward to make a confident push, sending the ball towards deep mid wicket for 2 runs."
2.2,0,"Jishan Alam to Tanzid Hasan, no run, Dot ball !! arm ball, full length, on the stumps, Tanzid Hasan goes forward, tucks push toward the fielder at short mid wicket, who halts the ball."
2.1,0,"Jishan Alam to Tanzid Hasan, no run, Dot ball !! off break ball, good length, on the stumps, Tanzid Hasan goes forward and tucks defensive shot toward the fielder, who halts the ball."
1.6,0,"Taskin Ahmed to Stephen Eskinazi, no run, Dot ball !! fast ball, back of length, on the off stump, Stephen Eskinazi goes forward, tucks defensive shot toward the fielder at point, who halts the ball."
1.5,4,"Taskin Ahmed to Stephen Eskinazi, Four, Four !! outswinger, back of length, on the off stump. Stephen Eskinazi goes back, hits pull in the gap towards deep mid wicket, and ball finds the ropes in a flash for four."
1.4,0,"Taskin Ahmed to Stephen Eskinazi, no run, Dot ball !! outswinger, back of length, on the stumps, Stephen Eskinazi goes forward and strives to hit pull, aiming to fend it off, but ball is too tricky to hit."
1.3,0,"Taskin Ahmed to Stephen Eskinazi, no run, Dot ball !! outswinger, good length, on the off stump, Stephen Eskinazi goes forward, tucks defensive shot toward the fielder at short cover, who halts the ball."
1.2,W,"Taskin Ahmed to Litton Das, no run, c YA Chowdhury b T Ahmed, Caught out!! outswinger back of length on the stumps, Litton Das hangs in the crease to take the gamble with defensive shot towards slip, edged!! and expertly caught by Yasir Ali Chowdhury. Leading to a soft dismissal. c YA Chowdhury b T Ahmed"
1.1,0,"Taskin Ahmed to Litton Das, no run, Dot ball !! outswinger, back of length, on the off stump, goes back, but decided to leave the ball at last."
0.6,0,"Jishan Alam to Tanzid Hasan, no run, Dot ball !! off break ball, good length, on the off stump, goes forward, plays defensive shot to the mid off."
0.5,4,"Jishan Alam to Tanzid Hasan, Four, Four !! off break ball, full length, on the off stump. Tanzid Hasan goes forward and tries drive, edged!! in the gap towards third man, and ball finds the ropes in a flash for four."
0.4,0,"Jishan Alam to Tanzid Hasan, no run, Dot ball !! arm ball, good length, on the off stump, goes forward, plays defensive shot to the mid off."
0.3,1lb,"Jishan Alam to Litton Das, 1 leg bye, Leg Bye !! off break ball, full length, on the off stump, Litton Das goes forward, swats reverse sweep, but the ball slides off the body, batter is quick to avail this leg bye for 1 run."
0.2,0,"Jishan Alam to Litton Das, no run, Dot ball !! off break ball, good length, on the off stump, Litton Das goes forward and strives to hit defensive shot, aiming to fend it off, but ball is too tricky to hit."
0.1,0,"Jishan Alam to Litton Das, no run, Dot ball !! off break ball, full length, on the off stump, goes forward, plays push."
